id,origin_name,result_nums,final_name,type,errorcode,certified,hasany
388,万象城,260,万象城,大概率正确,3,,
312,虾,1319,虾,大概率正确,3,,
47,小吃店,488,小吃店,大概率正确,3,,
52,小饭馆,6,小饭馆,大概率正确,3,,
362,小馆子,69,小馆子,大概率正确,3,,
58,小胡子,4,小胡子,大概率正确,3,,
229,鑫源,497,鑫源,大概率正确,3,,
398,夜市,224,夜市,大概率正确,3,,
436,宜家餐厅,0,宜家家居,大概率正确,3,,
373,宜家家居,11,宜家家居,大概率正确,3,,
550,早餐店,88,早餐店,大概率正确,3,,
92,张记,482,张记,大概率正确,3,,
441,张老炝烩面,0,张老炝,大概率正确,3,TRUE,
522,祖母的餐厅,0,祖母,大概率正确,3,FALSE,
285,白记灌汤烧饼,0,白记灌汤包,大概率正确,3,,
542,蔡记,31,蔡记,大概率正确,3,,
151,柴门,3,柴门,大概率正确,3,FALSE,
198,陈记,202,陈记,大概率正确,3,,
491,成都冒菜,6,成都冒菜,大概率正确,3,,
120,成记,11,成记,大概率正确,3,,
333,春光,71,春光,大概率正确,3,,
155,春光快餐,1,春光,大概率正确,3,,
153,大碗丼,4,熊吞·大碗丼,大概率正确,3,TRUE,
574,稻香,42,稻香,大概率正确,3,,
302,登封,1256,登封,大概率正确,3,,
408,东北饺子馆,28,东北饺子王,大概率正确,3,,
1,河洛面,5,河洛面,大概率正确,3,,
413,湖北菜馆,1,老汉口湖北菜馆,大概率正确,3,,
371,虎记,22,虎记,大概率正确,3,,
427,花千代,22,花千代秘制烤鱼,大概率正确,3,FALSE,
291,鸡公虾婆,15,鸡公虾婆,大概率正确,3,TRUE,
55,家宴城,5,家宴城,大概率正确,3,,
570,姐妹粥,4,姐妹粥,大概率正确,3,,
